iter	Passed	Remaining
0	136	24496
1	150	13412
2	162	9592
3	172	7578
4	181	6358
5	192	5576
6	201	4981
7	209	4514
8	218	4145
9	226	3848
10	233	3594
11	242	3397
12	251	3230
13	258	3068
14	266	2931
15	274	2809
16	281	2698
17	289	2605
18	296	2514
19	304	2434
20	311	2357
21	319	2291
22	326	2228
23	334	2172
24	341	2120
25	350	2077
26	357	2028
27	365	1983
28	373	1943
29	380	1904
30	388	1865
31	395	1831
32	403	1795
33	409	1760
34	419	1736
35	426	1706
36	434	1678
37	442	1652
38	449	1624
39	456	1598
40	464	1573
41	471	1550
42	479	1526
43	487	1505
44	494	1484
45	502	1462
46	509	1441
47	516	1420
48	523	1399
49	531	1382
50	539	1364
51	546	1346
52	555	1329
53	563	1313
54	571	1299
55	580	1284
56	587	1267
57	594	1249
58	601	1233
59	608	1217
60	615	1201
61	624	1187
62	631	1172
63	638	1157
64	646	1143
65	653	1129
66	660	1114
67	667	1099
68	675	1085
69	683	1073
70	690	1060
71	698	1048
72	706	1034
73	713	1022
74	726	1016
75	735	1006
76	744	996
77	753	985
78	761	973
79	770	962
80	780	953
81	788	941
82	796	930
83	804	919
84	812	907
85	820	897
86	828	885
87	836	874
88	844	863
89	852	852
90	861	842
91	869	831
92	877	820
93	885	810
94	894	800
95	902	789
96	910	779
97	919	769
98	926	758
99	934	747
100	942	737
101	950	727
102	958	716
103	965	705
104	974	696
105	983	686
106	992	677
107	1003	668
108	1012	659
109	1021	650
110	1031	640
111	1042	633
112	1055	625
113	1067	618
114	1078	609
115	1087	599
116	1097	591
117	1108	582
118	1119	574
119	1130	565
120	1139	555
121	1152	548
122	1160	537
123	1169	528
124	1177	517
125	1185	507
126	1192	497
127	1199	487
128	1207	477
129	1216	467
130	1223	457
131	1231	447
132	1238	437
133	1245	427
134	1252	417
135	1258	407
136	1266	397
137	1273	387
138	1280	377
139	1287	367
140	1295	358
141	1303	348
142	1311	339
143	1319	329
144	1326	320
145	1333	310
146	1340	301
147	1348	291
148	1356	282
149	1363	272
150	1371	263
151	1378	253
152	1384	244
153	1391	235
154	1398	225
155	1406	216
156	1414	207
157	1421	197
158	1428	188
159	1436	179
160	1444	170
161	1451	161
162	1460	152
163	1467	143
164	1474	134
165	1481	124
166	1489	115
167	1497	106
168	1506	98
169	1515	89
170	1524	80
171	1533	71
172	1540	62
173	1547	53
174	1555	44
175	1562	35
176	1569	26
177	1576	17
178	1583	8
179	1591	0
