iter	Passed	Remaining
0	150	26911
1	158	14064
2	165	9745
3	172	7575
4	179	6275
5	186	5418
6	194	4798
7	201	4330
8	208	3964
9	215	3668
10	222	3422
11	230	3222
12	237	3046
13	244	2903
14	252	2772
15	258	2651
16	265	2545
17	271	2447
18	279	2366
19	285	2286
20	292	2216
21	299	2150
22	306	2090
23	312	2031
24	319	1979
25	326	1931
26	332	1883
27	339	1841
28	345	1800
29	353	1766
30	359	1728
31	365	1692
32	372	1658
33	379	1627
34	385	1596
35	392	1569
36	400	1546
37	406	1520
38	414	1499
39	421	1476
40	428	1454
41	436	1432
42	443	1412
43	450	1391
44	458	1374
45	465	1355
46	472	1336
47	479	1319
48	488	1304
49	496	1290
50	503	1273
51	511	1258
52	518	1243
53	526	1228
54	534	1214
55	543	1203
56	551	1190
57	558	1175
58	566	1161
59	573	1147
60	580	1133
61	588	1119
62	595	1106
63	603	1093
64	610	1080
65	620	1071
66	628	1059
67	636	1048
68	644	1037
69	651	1024
70	660	1013
71	667	1001
72	675	990
73	685	981
74	693	970
75	701	959
76	708	947
77	715	936
78	724	926
79	733	917
80	741	905
81	748	895
82	757	884
83	767	876
84	774	865
85	783	856
86	791	845
87	797	834
88	805	823
89	813	813
90	821	803
91	829	793
92	837	783
93	845	773
94	852	762
95	861	753
96	868	743
97	875	732
98	883	723
99	890	712
100	898	702
101	905	692
102	913	682
103	923	674
104	931	665
105	938	655
106	946	645
107	953	635
108	962	626
109	969	617
110	977	607
111	985	598
112	992	588
113	999	578
114	1007	569
115	1015	560
116	1022	550
117	1030	541
118	1037	531
119	1044	522
120	1052	513
121	1059	503
122	1066	494
123	1074	485
124	1081	475
125	1088	466
126	1096	457
127	1103	448
128	1111	439
129	1119	430
130	1127	421
131	1134	412
132	1142	403
133	1150	394
134	1157	385
135	1164	376
136	1172	367
137	1179	358
138	1186	349
139	1193	341
140	1199	331
141	1206	322
142	1213	313
143	1220	305
144	1226	296
145	1235	287
146	1241	278
147	1248	269
148	1255	261
149	1262	252
150	1269	243
151	1276	235
152	1282	226
153	1289	217
154	1296	209
155	1303	200
156	1310	191
157	1317	183
158	1324	174
159	1331	166
160	1337	157
161	1343	149
162	1350	140
163	1357	132
164	1364	124
165	1371	115
166	1377	107
167	1384	98
168	1391	90
169	1398	82
170	1404	73
171	1411	65
172	1418	57
173	1425	49
174	1432	40
175	1438	32
176	1444	24
177	1451	16
178	1457	8
179	1465	0
